,title,summary,press,wdate,link
0,"메타, 만져서 느끼는 ‘촉각 로봇’ 개발…휴머노이드 발전 촉진할 듯",페이스북과 인스타그램 등을 운영하는 메타가 AI 서비스를 넘어 로봇 개발에까지 나섰습니다. 최근에는 촉각 기능이 있는 로봇팔을 선보였는..,MBN,2024-11-02 21:44:16,https://n.news.naver.com/mnews/article/057/0001851086
1,'어행'을 떠나요…최대 반값에 사는 수산대축제,서울 노량진수산시장에선 주말 이틀 일정으로 수산대축제가 열렸는데요. 제철 수산물을 최대 반값에 살 기회에 모처럼 시장이 북적거렸습니다...,MBN,2024-11-02 20:13:08,https://n.news.naver.com/mnews/article/057/0001851081
2,"트럼프 vs 해리스…다음주 美대선, 누가 대통령 돼야 내 주식 오르나",올해 하반기 전 세계 금융시장의 최대 이벤트로 꼽히는 미국 대통령 선거가 내주로 다가오면서 국내 증권가의 긴장감도 덩달아 높아지고 있다..,매일경제,2024-11-02 18:03:10,https://n.news.naver.com/mnews/article/009/0005389768
3,中 내주 재정정책 승인 전망…WSJ “회의론 더 크다”,중국 중앙정부의 경기 부양 정책을 승인할 전국인민대표대회(전인대) 상무위원회가 다음 주로 다가온 가운데 월스트리트저널(WSJ)은 회의론..,이데일리,2024-11-02 17:49:11,https://n.news.naver.com/mnews/article/018/0005875317
4,'회계 투명성' 정책 강조하는 김병환號 금융위,금융위원회가 회계 정책과 관련 일정을 강화하는 모습이다. 임관 후 첫 업무를 회계 정책으로 시작한 김 위원장의 의지가 반영됐다는 평가가..,아시아경제,2024-11-02 16:28:07,https://n.news.naver.com/mnews/article/277/0005494027
5,"베이비몬스터, 美 빌보드 ""매력적인 곡 가득한 첫 정규 컴백"" 집중 조명",와이지엔터테인먼트의 신인 베이비몬스터가 음악적 완성도를 꽉 잡은 데뷔 첫 정규 앨범([DRIP])으로 미국 빌보드의 극찬을 끌어냈다. ..,머니투데이,2024-11-02 15:57:52,https://n.news.naver.com/mnews/article/008/0005109061
6,인텔 밀려난 자리에 엔비디아 입성...미 다우지수,'새옹지마.' 인공지능(AI) 반도체 시장의 절대강자 엔비디아가 인텔을 밀어내고 미국 다수지수에 편입된다. AFP통신 등 외신들은 1일..,디지털타임스,2024-11-02 15:52:07,https://n.news.naver.com/mnews/article/029/0002912924
7,금값 고공행진에 빛나는 금 펀드·ETF,금값이 연일 사상 최고치를 갈아치우며 상승세를 지속하면서 금 펀드와 상장지수펀드(ETF) 수익률도 고공행진을 하고 있다. 미국 대선과 ..,아시아경제,2024-11-02 15:01:17,https://n.news.naver.com/mnews/article/277/0005494019
8,미 대선 사흘 앞으로… 비트코인 '2억원 꿈' 실현되나,미국 대선이 사흘 앞으로 다가온 가운데 비트코인이 2억원에도 도달할 수 있다는 전망이 나온다. 공화당 대선 후보 도널드 트럼프 전 대통..,머니S,2024-11-02 14:55:38,https://n.news.naver.com/mnews/article/417/0001036457
9,인텔의 '굴욕'…엔비디아에 밀려 다우지수서 빠졌다,엔비디아가 초우량 대기업만 편입할 수 있는 다우지수에 합류한다. 한때 중앙처리장치(CPU) 최강자였던 인텔은 제외됐다. S&P 다우존스..,아이뉴스24,2024-11-02 14:26:11,https://n.news.naver.com/mnews/article/031/0000881517
10,"""5년 간 손들어줬는데""…국민연금, 고려아연 등 돌리나",금융감독원이 고려아연의 유상증자와 공개매수에 불공정거래 소지가 높다고 칼을 빼들면서 지분 7% 가량을 보유하고 있는 국민연금이 어떤 선..,뉴시스,2024-11-02 14:00:00,https://n.news.naver.com/mnews/article/003/0012880468
11,"""4만전자 갈까 봐 잠도 안 온다""…속 새까맣게 타는 개미들","과거 성과에 안주해 승부 근성과 절실함이 약해진 건 아닌지 경영진부터 냉철히 돌아보겠습니다."" (지난 1일 삼성전자 창립 55주년 기념..",한국경제,2024-11-02 12:56:14,https://n.news.naver.com/mnews/article/015/0005052189
12,금리 하락하는데…美 은행주 '대박 실적' 왜? [양병훈의 해외주식 꿀팁],"해외 투자의 길잡이가 되겠습니다. 해외 증시에 대한 최근 이슈, 전문가 견해, 유용한 자료 등 꿀팁을 전합니다. 한경 코리아마켓에서 무..",한국경제,2024-11-02 12:50:17,https://n.news.naver.com/mnews/article/015/0005052188
13,일주일 만에 주가 반토막…줄줄이 '등급 하향',인공지능(AI) 열풍에 힘입어 한때 수익률 300%를 자랑하던 슈퍼마이크로 컴퓨터(이하 슈퍼마이크로) 주가가 회계 조작 의혹이 가라앉지..,한국경제TV,2024-11-02 12:18:50,https://n.news.naver.com/mnews/article/215/0001186239
14,"엔비디아, 다우지수 편입…인텔은 25년만에 밀려나",인공지능(AI) 칩의 선두주자 엔비디아가 인텔을 밀어내고 다우지수에 편입된다. 1일(현지시간) S&P다우존스지수는 오는 8일부터 엔비디..,아시아경제,2024-11-02 11:46:07,https://n.news.naver.com/mnews/article/277/0005494004
15,"국민연금, 美주식 직접투자 1000억弗 돌파…‘M7’ 보유량 늘렸다",국민연금의 미국 주식 직접투자 자산이 사상 처음으로 1000억달러를 돌파했다. 국민연금의 기금운용은 자체 인력으로 운용하는 직접투자와 ..,아시아경제,2024-11-02 11:29:39,https://n.news.naver.com/mnews/article/277/0005494002
16,"해커스공무원, 11월 2일 서울시·지방직 7급 시험 실시간 합격컷&합격예측 제공","서울시, 지방직 7급 공무원 시험이 오늘 11월 2일에 치러진다. 이에 해커스공무원이 시험 종료 직후 실시간 합격컷과 정확한 합격예측을..",서울경제,2024-11-02 11:00:10,https://n.news.naver.com/mnews/article/011/0004410217
17,"금감원, 신한투자증권 중징계 예고…""내부 통제 문제 심각""",금융감독원이 신한투자증권의 1300억여원 파생 손실과 관련해 강력 처벌을 시사하면서 중징계를 피하긴 어려울 거란 전망이 나온다. 라임·..,뉴시스,2024-11-02 11:00:00,https://n.news.naver.com/mnews/article/003/0012880388
18,인텔의 굴욕...엔비디아에 밀려 다우지수 퇴출,엔비디아가 인텔을 밀어내고 다수지수에 포함됐다고 AFP통신 등 외신들이 1일(현지시간) 보도했다. 엔비디아는 8일 다우지수산업평균(DJ..,한국경제TV,2024-11-02 10:43:33,https://n.news.naver.com/mnews/article/215/0001186234
19,"더본코리아, 우리사주조합 미지근한 반응 이유있다",오는 6일 유가증권 시장 상장을 앞둔 더본코리아의 우리사주조합이 배정 물량 가운데 35%만 청약한 것으로 집계됐다. 이에 반해 일반 투..,아시아경제,2024-11-02 10:34:12,https://n.news.naver.com/mnews/article/277/0005493993
